prot_id	location	type	transcript_length	cds_length	pseudogene	description	go	comments	Is_Reversed	chromosome	line_location	mol_weight	iso_point
Tb04.24M18.150	1,458,610 - 1,459,109 (-)	protein coding	500	489	0	hypothetical protein, conserved	GO:0005739|Cellular Component|mitochondrion|GeneDB|RCA|,GO:0020022|Cellular Component|acidocalcisome|GeneDB|IDA		1	Tb927_04_v5.1	Tb927_04_v5.1:1458610-1459109	18062	8.76
Tb04.3I12.100	1,312,951 - 1,313,406 (-)	protein coding	456	456	0	hypothetical protein			1	Tb927_04_v5.1	Tb927_04_v5.1:1312951-1313406	17635	10.99
Tb05.30F7.410	292,578 - 293,087 (-)	protein coding	510	510	0	hypothetical protein			1	Tb927_05_v5.1	Tb927_05_v5.1:292578-293087	18539	10.21
Tb05.5K5.10	3 - 74 (-)	protein coding	72	72	0	hypothetical protein, conserved			1	5K5_v5.1	5K5_v5.1:3-74	2886	8.22
Tb05.5K5.100	17,609 - 18,203 (-)	protein coding	595	510	0	hypothetical protein, conserved			1	5K5_v5.1	5K5_v5.1:17609-18203	18603	10.08
Tb05.5K5.110	18,945 - 22,146 (-)	protein coding	3202	2517	0	major vault protein, putative			1	5K5_v5.1	5K5_v5.1:18945-22146	94063	7.08
Tb05.5K5.120	21,693 - 25,373 (-)	protein coding	3681	2538	0	hypothetical protein, conserved	GO:0009190|Biological Process|cyclic nucleotide biosynthetic process|Interpro|IEA|,GO:0035556|Biological Process|intracellular signal transduction|Interpro|IEA|,GO:0016849|Molecular Function|phosphorus-oxygen lyase activity|Interpro|IEA		1	5K5_v5.1	5K5_v5.1:21693-25373	95766	5.95
Tb05.5K5.130	25,819 - 27,588 (-)	protein coding	1770	1740	0	paraflagellar rod component par4, putative	GO:0031514|Cellular Component|motile cilium|GeneDB|IDA		1	5K5_v5.1	5K5_v5.1:25819-27588	68315	4.92
Tb05.5K5.140	27,867 - 28,292 (-)	protein coding	426	423	0	Trypanosoma specific protein, unknown function			1	5K5_v5.1	5K5_v5.1:27867-28292	15460	7.85
Tb05.5K5.150	28,569 - 29,197 (-)	protein coding	629	585	0	small GTP-binding protein, putative	GO:0006886|Biological Process|intracellular protein transport|Interpro|IEA|,GO:0007264|Biological Process|small GTPase mediated signal transduction|Interpro|IEA|,GO:0005622|Cellular Component|intracellular|Interpro|IEA|,GO:0005525|Molecular Function|GTP binding|Interpro|IEA		1	5K5_v5.1	5K5_v5.1:28569-29197	21772	7.72
Tb05.5K5.160	29,371 - 32,881 (-)	protein coding	3511	2781	0	hypothetical protein, conserved			1	5K5_v5.1	5K5_v5.1:29371-32881	108204	5.67
Tb05.5K5.170	32,991 - 33,885 (-)	protein coding	895	774	0	elongation of very long chain fatty acids protein, putative	GO:0016021|Cellular Component|integral to membrane|Interpro|IEA		1	5K5_v5.1	5K5_v5.1:32991-33885	29577	9
Tb05.5K5.180	42,035 - 48,396 (+)	protein coding	6362	3732	0	receptor-type adenylate cyclase GRESAG 4, putative	GO:0009190|Biological Process|cyclic nucleotide biosynthetic process|Interpro|IEA|,GO:0035556|Biological Process|intracellular signal transduction|Interpro|IEA|,GO:0016849|Molecular Function|phosphorus-oxygen lyase activity|Interpro|IEA		0	5K5_v5.1	5K5_v5.1:42035-48396	136651	6.02
Tb05.5K5.190	49,990 - 54,940 (+)	protein coding	4951	3732	0	receptor-type adenylate cyclase GRESAG 4, putative	GO:0009190|Biological Process|cyclic nucleotide biosynthetic process|Interpro|IEA|,GO:0035556|Biological Process|intracellular signal transduction|Interpro|IEA|,GO:0016849|Molecular Function|phosphorus-oxygen lyase activity|Interpro|IEA		0	5K5_v5.1	5K5_v5.1:49990-54940	136686	5.57
Tb05.5K5.20	479 - 1,756 (-)	protein coding	1278	1278	0	hypothetical protein, conserved			1	5K5_v5.1	5K5_v5.1:479-1756	48697	6.83
Tb05.5K5.200	55,818 - 58,421 (+)	protein coding	2604	1551	0	guanine deaminase, putative	GO:0008270|Molecular Function|zinc ion binding|Interpro|IEA|,GO:0008892|Molecular Function|guanine deaminase activity|Interpro|IEA|,GO:0016787|Molecular Function|hydrolase activity|Interpro|IEA|,GO:0016810|Molecular Function|hydrolase activity  acting on carbon-nitrogen (but not peptide) bonds|Interpro|IEA		0	5K5_v5.1	5K5_v5.1:55818-58421	55322	6.46
Tb05.5K5.210	58,529 - 63,156 (+)	protein coding	4628	2457	0	hypothetical protein			0	5K5_v5.1	5K5_v5.1:58529-63156	89002	5.41
Tb05.5K5.220	65,591 - 68,905 (+)	protein coding	3315	2457	0	hypothetical protein			0	5K5_v5.1	5K5_v5.1:65591-68905	88665	5.79
Tb05.5K5.230	69,567 - 70,007 (+)	protein coding	441	441	1	RAB GTP-binding protein, degenerate			0	5K5_v5.1	5K5_v5.1:69567-70007	16252	9.98
