Gene ID	Product Description	Gene Type	Input ID	# TM Domains	EC numbers	EC numbers from OrthoMCL	
Tb04.24M18.150	hypothetical protein, conserved	protein coding gene	Tb04.24M18.150	0	N/A	N/A	
Tb04.3I12.100	hypothetical protein	protein coding gene	Tb04.3I12.100	3	N/A	N/A	
Tb05.30F7.410	hypothetical protein	protein coding gene	Tb05.30F7.410	0	N/A	N/A	
Tb05.5K5.10	conserved hypothetical protein, conserved (fragment)	protein coding gene	Tb05.5K5.10	0	N/A	N/A	
Tb05.5K5.100	hypothetical protein, conserved	protein coding gene	Tb05.5K5.100	0	N/A	N/A	
Tb05.5K5.110	major vault protein, putative	protein coding gene	Tb05.5K5.110	0	N/A	N/A	
Tb05.5K5.120	hypothetical protein, conserved	protein coding gene	Tb05.5K5.120	0	N/A	N/A	
Tb05.5K5.130	paraflagellar rod component par4, putative	protein coding gene	Tb05.5K5.130	0	N/A	N/A	
Tb05.5K5.140	Trypanosoma specific protein, unknown function	protein coding gene	Tb05.5K5.140	0	N/A	N/A	
Tb05.5K5.150	small GTP-binding protein, putative	protein coding gene	Tb05.5K5.150	0	N/A	3.6.-.- (Acting on acid anhydrides.);3.6.5.- (Acting on GTP; involved in cellular and subcellular movement.)	
Tb05.5K5.160	hypothetical protein, conserved	protein coding gene	Tb05.5K5.160	0	N/A	N/A	
Tb05.5K5.170	elongation of very long chain fatty acids protein, putative	protein coding gene	Tb05.5K5.170	7	2.3.1.199 (Very-long-chain 3-oxoacyl-CoA synthase)	1.18.1.- (With NAD(+) or NADP(+) as acceptor.);2.3.1.199 (Very-long-chain 3-oxoacyl-CoA synthase)	
Tb05.5K5.180	receptor-type adenylate cyclase GRESAG 4, putative	protein coding gene	Tb05.5K5.180	1	N/A	4.6.1.1 (Adenylate cyclase)	
Tb05.5K5.190	receptor-type adenylate cyclase GRESAG 4, putative	protein coding gene	Tb05.5K5.190	1	N/A	4.6.1.1 (Adenylate cyclase)	
Tb05.5K5.20	hypothetical protein, conserved	protein coding gene	Tb05.5K5.20	3	N/A	N/A	
Tb05.5K5.200	guanine deaminase, putative	protein coding gene	Tb05.5K5.200	0	3.5.4.3 (Guanine deaminase)	3.5.2.7 (Imidazolonepropionase);3.5.4.3 (Guanine deaminase);3.5.4.32 (8-oxoguanine deaminase);3.5.4.4 (Adenosine deaminase);3.5.4.40 (Aminodeoxyfutalosine deaminase);3.8.1.- (In C-halide compounds.)	
Tb05.5K5.210	hypothetical protein	protein coding gene	Tb05.5K5.210	2	N/A	N/A	
Tb05.5K5.220	hypothetical protein	protein coding gene	Tb05.5K5.220	2	N/A	N/A	
Tb05.5K5.230	RAB GTP-binding protein, degenerate	pseudogene	Tb05.5K5.230	0	N/A	N/A	
Tb05.5K5.240	expression site-associated gene 3 (ESAG3) protein, putative	protein coding gene	Tb05.5K5.240	1	N/A	N/A	
Tb05.5K5.250	hypothetical protein	protein coding gene	Tb05.5K5.250	0	N/A	N/A	
Tb05.5K5.260	variant surface glycoprotein (VSG), putative	protein coding gene	Tb05.5K5.260	0	N/A	N/A	
Tb05.5K5.270	expression site-associated gene 9 (ESAG9), frameshift	pseudogene	Tb05.5K5.270	0	N/A	N/A	
Tb05.5K5.280	expression site-associated gene 1 (ESAG1), point mutation	pseudogene	Tb05.5K5.280	0	N/A	N/A	
Tb05.5K5.290	hypothetical protein	protein coding gene	Tb05.5K5.290	0	N/A	N/A	
Tb05.5K5.30	serine/threonine protein phosphatase, putative	protein coding gene	Tb05.5K5.30	0	3.1.3.16 (Protein-serine/threonine phosphatase)	2.3.1.- (Transferring groups other than amino-acyl groups.);3.1.3.16 (Protein-serine/threonine phosphatase)	
Tb05.5K5.300	variant surface glycoprotein, degenerate	pseudogene	Tb05.5K5.300	0	N/A	N/A	
Tb05.5K5.310	expression site-associated gene 3 (ESAG3), degenerate	pseudogene	Tb05.5K5.310	0	N/A	N/A	
Tb05.5K5.320	variant surface glycoprotein (VSG), putative	protein coding gene	Tb05.5K5.320	0	N/A	N/A	
Tb05.5K5.330	variant surface glycoprotein, point mutation	pseudogene	Tb05.5K5.330	0	N/A	N/A	
Tb05.5K5.340	variant surface glycoprotein, degenerate	pseudogene	Tb05.5K5.340	0	N/A	N/A	
Tb05.5K5.350	expression site-associated gene 3 (ESAG3), degenerate	pseudogene	Tb05.5K5.350	0	N/A	N/A	
Tb05.5K5.360	variant surface glycoprotein, point mutation	pseudogene	Tb05.5K5.360	0	N/A	N/A	
Tb05.5K5.370	variant surface glycoprotein, degenerate	pseudogene	Tb05.5K5.370	0	N/A	N/A	
Tb05.5K5.380	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb05.5K5.380	0	N/A	N/A	
Tb05.5K5.390	variant surface glycoprotein, degenerate	pseudogene	Tb05.5K5.390	0	N/A	N/A	
Tb05.5K5.40	hypothetical protein, conserved	protein coding gene	Tb05.5K5.40	0	N/A	N/A	
Tb05.5K5.400	variant surface glycoprotein, interrupted	pseudogene	Tb05.5K5.400	0	N/A	N/A	
Tb05.5K5.410	variant surface glycoprotein, degenerate	pseudogene	Tb05.5K5.410	0	N/A	N/A	
Tb05.5K5.420	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb05.5K5.420	0	N/A	N/A	
Tb05.5K5.430	variant surface glycoprotein (VSG), putative	protein coding gene	Tb05.5K5.430	0	N/A	N/A	
Tb05.5K5.440	variant surface glycoprotein, point mutation	pseudogene	Tb05.5K5.440	0	N/A	N/A	
Tb05.5K5.450	variant surface glycoprotein, frameshift	pseudogene	Tb05.5K5.450	0	N/A	N/A	
Tb05.5K5.460	variant surface glycoprotein (VSG), pseudogene	pseudogene	Tb05.5K5.460	0	N/A	N/A	
Tb05.5K5.470	variant surface glycoprotein, frameshift	pseudogene	Tb05.5K5.470	0	N/A	N/A	
Tb05.5K5.480	variant surface glycoprotein, degenerate	pseudogene	Tb05.5K5.480	0	N/A	N/A	
Tb05.5K5.490	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb05.5K5.490	0	N/A	N/A	
Tb05.5K5.50	hypothetical protein, conserved	protein coding gene	Tb05.5K5.50	0	N/A	N/A	
Tb05.5K5.500	expression site-associated gene 3 (ESAG3), degenerate	pseudogene	Tb05.5K5.500	0	N/A	N/A	
