,Prot_id,GPI_site,GPI_score,GPI_pval,prot_len,SignalP_score,SignalP_position,Desc
0,Tb927.1.4720,602,-1.54,2.139981e-03,631,0.0010609999999999999,nan,SET domain containing protein  putative
1,Tb927.1.4890,431,-1.95,2.279188e-03,454,0.885252,CS pos: 22-23,expression site-associated gene 2 (ESAG2) protein  putative
2,Tb927.1.5060,327,2.29,1.130246e-03,345,0.790516,CS pos: 22-23,variant surface glycoprotein (VSG)-related  putative
3,Tb927.1.5100,430,-1.95,2.279188e-03,453,0.909208,CS pos: 22-23,expression site-associated gene 2 (ESAG2) protein  putative
4,Tb927.1.5220,278,2.24,1.139277e-03,297,0.998474,CS pos: 23-24,expression site-associated gene 9 (ESAG9) protein  putative
5,Tb927.2.1600,292,1.56,1.283470e-03,310,0.037432,nan,invariant surface glycoprotein  putative
6,Tb927.3.1640,147,-1.15,2.011715e-03,163,0.0070030000000000005,nan,hypothetical protein
7,Tb927.3.2540,391,-3.81,3.019586e-03,407,0.981701,CS pos: 17-18,variant surface glycoprotein (VSG)-related  putative
8,Tb927.3.2540,391,-3.81,3.019586e-03,407,0.021384999999999998,nan,variant surface glycoprotein (VSG)-related  putative
9,Tb927.3.5680,473,-3.19,2.755308e-03,490,0.9236709999999999,CS pos: 17-18,variant surface glycoprotein (VSG)-related  putative
10,Tb927.3.5700,333,4.70,7.248872e-04,353,0.9839030000000001,CS pos: 21-22,hypothetical protein  conserved
11,Tb927.3.570,431,0.07,1.649664e-03,454,0.9668200000000001,CS pos: 22-23,expression site-associated gene 2 (ESAG2) protein  putative
12,Tb927.3.5710,333,4.70,7.248872e-04,353,0.9839030000000001,CS pos: 21-22,hypothetical protein  conserved
13,Tb927.3.5720,334,4.70,7.248872e-04,354,0.9839030000000001,CS pos: 21-22,hypothetical protein  conserved
14,Tb927.3.5730,333,4.70,7.248872e-04,353,0.9839030000000001,CS pos: 21-22,hypothetical protein  conserved
15,Tb927.3.5760,275,0.02,1.662855e-03,295,0.866192,CS pos: 23-24,hypothetical protein  conserved
16,Tb927.4.1110,440,-3.48,2.875812e-03,459,0.99513,CS pos: 21-22,hypothetical protein  conserved
17,Tb927.4.1230,306,9.64,2.590370e-04,331,0.9981209999999999,CS pos: 27-28,hypothetical protein
18,Tb927.4.2600,1612,-3.22,2.767489e-03,1628,0.002154,nan,SUMO-interacting motif-containing protein
19,Tb927.4.3190,192,3.26,9.486998e-04,220,0.004496,nan,ubiquitin-conjugating enzyme E2  putative
20,Tb927.4.3270,348,5.67,6.000377e-04,369,0.9886889999999999,CS pos: 22-23,ESAG11-related protein  putative
21,Tb927.4.3280,394,-0.80,1.901475e-03,410,0.998267,CS pos: 25-26,expression site-associated gene 2 (ESAG2) protein  putative
22,Tb927.4.5560,493,-2.36,2.429456e-03,516,0.977879,CS pos: 21-22,variant surface glycoprotein (VSG)  putative
23,Tb927.5.150,251,5.76,5.896774e-04,271,0.7199800000000001,CS pos: 17-18,hypothetical protein  conserved
24,Tb927.5.1860,483,0.32,1.583681e-03,509,0.002451,nan,hypothetical protein  conserved
25,Tb927.5.3990,453,-2.77,2.586417e-03,477,0.995317,CS pos: 23-24,variant surface glycoprotein (VSG  atypical)  putative
26,Tb927.5.4020,251,6.88,4.707425e-04,272,0.9645969999999999,CS pos: 24-25,hypothetical protein
27,Tb927.5.4620,276,7.20,4.406903e-04,296,0.9994569999999999,CS pos: 23-24,expression site-associated gene 9 (ESAG9) protein  putative
28,Tb927.5.4670,481,4.14,8.065276e-04,500,0.8307709999999999,CS pos: 26-27,variant surface glycoprotein (VSG  atypical)  putative
29,Tb927.5.4690,467,1.77,1.237103e-03,486,0.9004059999999999,CS pos: 25-26,variant surface glycoprotein (VSG  atypical)  putative
30,Tb927.5.5610,451,8.78,3.139830e-04,475,0.909159,CS pos: 20-21,Variant Surface Glycoprotein  putative
31,Tb927.6.450,105,4.30,7.830103e-04,127,0.9821850000000001,CS pos: 27-28,procyclin PARP A
32,Tb927.6.470,433,-3.26,2.783245e-03,457,0.9457260000000001,CS pos: 19-20,gene related to expression site-associated gene 2 (GRESAG2)  putative
33,Tb927.6.480,101,4.30,7.830103e-04,123,0.981608,CS pos: 27-28,surface protein EP3-2 procyclin precursor
34,Tb927.6.500,433,-3.26,2.783245e-03,457,0.9457260000000001,CS pos: 19-20,gene related to expression site-associated gene 2 (GRESAG2)  putative
35,Tb927.6.510,92,4.39,7.697775e-04,114,0.969656,CS pos: 20-21,GPEET procyclin
36,Tb927.6.520,107,4.30,7.830103e-04,129,0.980049,CS pos: 27-28,EP3-2 procyclin
37,Tb927.6.540,430,-1.64,2.171406e-03,454,0.980182,CS pos: 20-21,gene related to expression site-associated gene 2 (GRESAG2)  putative
38,Tb927.6.710,210,3.28,9.460359e-04,241,0.02157,nan,dephospho-CoA kinase  putative
39,Tb927.7.1140,157,0.62,1.506502e-03,176,0.003425,nan,trypanothione/tryparedoxin dependent peroxidase 3
40,Tb927.7.1260,207,4.56,7.442926e-04,233,0.000884,nan,hypothetical protein  conserved
41,Tb927.7.1280,209,7.20,4.404427e-04,233,0.000884,nan,hypothetical protein  conserved
42,Tb927.7.170,241,8.19,3.567826e-04,260,0.8329290000000001,CS pos: 16-17,expression site-associated gene 9 (ESAG9) protein  putative
43,Tb927.7.3250,375,2.22,1.143853e-03,397,0.9922280000000001,CS pos: 17-18,expression site-associated gene 6 (ESAG6) protein  putative
44,Tb927.7.360,355,-2.77,2.584609e-03,382,0.994799,CS pos: 17-18,Salivary gland epimastigote 1
45,Tb927.7.380,329,-1.16,2.015258e-03,356,0.994799,CS pos: 17-18,hypothetical protein  conserved
46,Tb927.7.400,276,-1.16,2.015258e-03,303,0.96115,CS pos: 24-25,hypothetical protein  conserved
47,Tb927.7.420,276,-2.77,2.584609e-03,303,0.9379379999999999,CS pos: 24-25,hypothetical protein  conserved
48,Tb927.7.440,303,-1.16,2.015258e-03,330,0.995033,CS pos: 17-18,hypothetical protein  conserved
49,Tb927.7.640,315,4.85,7.040101e-04,334,0.0015119999999999999,nan,hypothetical protein  conserved
50,Tb927.8.1610,531,12.37,1.349560e-04,554,0.7841229999999999,CS pos: 31-32,MSP-B  putative
51,Tb927.8.1620,531,12.37,1.349560e-04,554,0.7841229999999999,CS pos: 31-32,MSP-B  putative
52,Tb927.8.1630,531,12.37,1.349560e-04,554,0.7841229999999999,CS pos: 31-32,MSP-B  putative
53,Tb927.8.1640,531,12.37,1.349560e-04,554,0.836224,CS pos: 31-32,MSP-B  putative
54,Tb927.8.1820,393,4.20,7.972241e-04,409,0.000947,nan,sterol carrier protein  putative
55,Tb927.8.2890,406,0.22,1.610159e-03,422,0.009798999999999999,nan,hypothetical protein  conserved
56,Tb927.8.7340,725,5.63,6.058607e-04,748,0.991864,CS pos: 23-24,trans-sialidase  putative
57,Tb927.8.7350,725,5.63,6.058607e-04,748,0.991864,CS pos: 23-24,trans-sialidase  putative
58,Tb927.8.930,445,3.66,8.826281e-04,470,0.990403,CS pos: 20-21,hypothetical protein
59,Tb927.8.950,445,3.66,8.826281e-04,470,0.990403,CS pos: 20-21,hypothetical protein
60,Tb927.9.1050,483,-3.05,2.698686e-03,501,0.660784,CS pos: 38-39,variant surface glycoprotein (VSG)  putative
61,Tb927.9.1110,466,3.07,9.825504e-04,486,0.62531,CS pos: 26-27,variant surface glycoprotein (VSG  atypical)  putative
62,Tb927.9.13200,168,-0.34,1.763712e-03,189,0.9751190000000001,CS pos: 22-23,hypothetical protein
63,Tb927.9.15510,274,5.18,6.608895e-04,296,0.968878,CS pos: 22-23,BARP protein
64,Tb927.9.15520,239,4.75,7.188846e-04,260,0.996318,CS pos: 22-23,BARP protein
65,Tb927.9.15530,238,-4.23,3.211794e-03,260,0.996713,CS pos: 22-23,BARP protein
66,Tb927.9.15540,268,-3.82,3.024028e-03,290,0.992432,CS pos: 22-23,BARP protein
67,Tb927.9.15550,268,-3.82,3.024028e-03,290,0.990168,CS pos: 22-23,BARP protein
68,Tb927.9.15560,233,5.48,6.238319e-04,255,0.996318,CS pos: 22-23,BARP protein
69,Tb927.9.15570,256,-3.95,3.082249e-03,278,0.987533,CS pos: 22-23,BARP protein
70,Tb927.9.15580,233,4.39,7.691282e-04,255,0.996034,CS pos: 22-23,BARP protein
71,Tb927.9.15600,238,-3.97,3.090875e-03,260,0.990131,CS pos: 22-23,BARP protein
72,Tb927.9.15610,238,5.36,6.379883e-04,260,0.993158,CS pos: 22-23,BARP protein
73,Tb927.9.15620,232,4.18,8.005977e-04,254,0.996712,CS pos: 22-23,BARP protein
74,Tb927.9.15630,239,5.91,5.722904e-04,261,0.9918290000000001,CS pos: 22-23,BARP protein
75,Tb927.9.15640,238,-3.36,2.827595e-03,260,0.996043,CS pos: 22-23,BARP protein
76,Tb927.9.15650,329,1.89,1.211932e-03,346,0.980951,CS pos: 24-25,hypothetical protein
77,Tb927.9.16250,485,-3.27,2.788193e-03,505,0.8243520000000001,CS pos: 25-26,variant surface glycoprotein (VSG  atypical)  putative
78,Tb927.9.16490,527,-3.28,2.793130e-03,550,0.616196,CS pos: 50-51,variant surface glycoprotein (VSG)  putative
79,Tb927.9.16640,503,-0.72,1.878145e-03,526,0.993792,CS pos: 23-24,variant surface glycoprotein (VSG)  putative
