#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-401E4A08A436F4A-117B787A9AD3483
#datatype	hitsConcise Results
#status	0
#Start time	2016-10-14T18:33:38	Run time	0:01:44:12
#status	success

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#1 - >Tb927.9.11660	superfamily	283359	50	108	4.03786e-06	41.7682	cl05311	NDUF_B7 superfamily	 - 	 - 
Q#2 - >Tb927.1.240	superfamily	302859	49	345	3.50803e-147	477.399	cl19421	RHSP superfamily	C	 - 
Q#2 - >Tb927.1.240	specific	238827	896	1151	5.26935e-64	216.388	cd01650	RT_nLTR_like	 - 	cl02808
Q#2 - >Tb927.1.240	specific	260008	1368	1502	5.18993e-17	78.4136	cd09276	Rnase_HI_RT_non_LTR	 - 	cl14782
Q#2 - >Tb927.1.240	superfamily	294334	437	645	7.49447e-12	65.7761	cl00490	EEP superfamily	 - 	 - 
Q#2 - >Tb927.1.240	multi-dom	278506	902	1117	6.65927e-42	151.685	pfam00078	RVT_1	 - 	 - 
Q#4 - >Tb927.9.12820	specific	281624	25	122	6.98116e-41	129.872	pfam03645	Tctex-1	 - 	cl04194
Q#5 - >Tb927.11.2280	specific	185761	16	362	3.99058e-96	303.502	cd09034	BRO1_Alix_like	 - 	cl14649
Q#5 - >Tb927.11.2280	multi-dom	290660	439	741	7.957e-29	115.783	pfam13949	ALIX_LYPXL_bnd	 - 	 - 
Q#6 - >Tb927.11.4760	multi-dom	293336	30	218	1.16739e-47	155.969	pfam16731	GARP	 - 	 - 
Q#7 - >Tb927.7.4660	superfamily	294421	88	197	1.39723e-05	43.0711	cl00630	YdcF-like superfamily	C	 - 
Q#8 - >Tb927.11.1820	superfamily	275543	217	617	3.52917e-32	125.176	cl00348	GCD2 superfamily	 - 	 - 
Q#8 - >Tb927.11.1820	superfamily	299883	15	80	0.00744847	35.2567	cl12057	Seryl_tRNA_N superfamily	N	 - 
Q#9 - >Tb927.2.5160	specific	199909	200	329	7.57228e-37	130.238	cd10747	DnaJ_C	 - 	cl21722
Q#9 - >Tb927.2.5160	specific	278647	7	67	9.48198e-35	121.421	pfam00226	DnaJ	 - 	cl02542
Q#9 - >Tb927.2.5160	specific	199908	132	198	5.06912e-20	81.9182	cd10719	DnaJ_zf	 - 	cl21539
Q#9 - >Tb927.2.5160	multi-dom	240236	2	400	1.12946e-108	324.466	PTZ00037	PTZ00037	 - 	 - 
Q#10 - >Tb927.11.3160	superfamily	294188	239	376	1.26329e-05	44.9761	cl00262	TroA-like superfamily	N	 - 
Q#12 - >Tb927.11.4320	superfamily	294474	237	403	9.48357e-18	79.9013	cl00731	DUF179 superfamily	 - 	 - 
Q#20 - >Tb927.10.12530	specific	278647	5	76	3.77727e-20	77.5087	pfam00226	DnaJ	 - 	cl02542
Q#20 - >Tb927.10.12530	specific	282991	107	163	3.79621e-14	61.8977	pfam05207	zf-CSL	 - 	cl21704
Q#22 - >Tb927.11.12020	multi-dom	274008	98	208	0.000451223	39.6547	TIGR02168	SMC_prok_B	NC	 - 
Q#23 - >Tb927.9.5350	specific	227602	3	407	1.8713e-99	302.418	COG5277	COG5277	 - 	cl17037
Q#23 - >Tb927.9.5350	multi-dom	240343	1	414	0	824.752	PTZ00280	PTZ00280	 - 	 - 
Q#24 - >Tb927.10.13490	specific	270905	9	259	2.56997e-135	380.71	cd14003	STKc_AMPK-like	 - 	cl21453
Q#24 - >Tb927.10.13490	multi-dom	214567	10	260	6.76487e-107	309.075	smart00220	S_TKc	 - 	 - 
Q#25 - >Tb927.3.4100	superfamily	304372	3	542	1.57365e-60	209.687	cl21472	MFS superfamily	 - 	 - 
Q#27 - >Tb927.10.12830	specific	290242	85	124	0.000351412	37.2665	pfam13508	Acetyltransf_7	C	cl17182
Q#32 - >Tb927.2.400	specific	273724	16	767	0	1186.94	TIGR01631	Trypano_RHS	 - 	cl19421
Q#33 - >Tb927.8.1060	superfamily	283058	306	710	6.24269e-70	230.902	cl09364	MCD superfamily	 - 	 - 
Q#34 - >Tb927.10.6080	specific	239730	107	294	5.9333e-133	373.888	cd03761	proteasome_beta_type_5	 - 	cl00467
Q#35 - >Tb927.8.1540	superfamily	238064	750	860	3.14992e-10	61.2174	cl23707	LRR_RI superfamily	N	 - 
